Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
25-04-2022,S005,P0020,Furniture,South,288,134,130,129.21,40.17,5,Sunny,0,43.66,Spring
06-03-2022,S004,P0016,Groceries,West,469,465,113,455.31,19.63,0,Sunny,0,22.3,Summer
12-05-2022,S004,P0008,Toys,South,386,321,105,313.55,29.24,15,Cloudy,0,33.03,Summer
09-01-2022,S004,P0003,Toys,East,306,58,54,64.75,89.88,10,Snowy,0,94.46,Spring
01-03-2022,S004,P0011,Toys,East,458,319,57,337.32,92.74,5,Sunny,1,88.03,Winter
09-03-2022,S001,P0007,Electronics,West,388,300,130,306.5,24.21,10,Rainy,0,21.87,Summer
31-01-2022,S001,P0018,Furniture,West,433,148,57,149.17,84.04,20,Snowy,0,88.65,Spring
07-02-2022,S005,P0002,Toys,South,57,13,86,28.98,53.07,10,Sunny,1,48.25,Spring
08-02-2022,S005,P0019,Electronics,East,451,153,76,152.95,49.54,0,Sunny,0,47.84,Autumn
23-01-2022,S003,P0011,Groceries,West,355,94,77,89.03,23.49,0,Snowy,0,20.47,Winter
06-01-2022,S003,P0003,Furniture,South,210,180,82,188.69,25.18,15,Rainy,1,29.75,Autumn
13-02-2022,S003,P0012,Furniture,South,187,62,58,64.83,71.52,20,Cloudy,0,67.58,Summer
09-05-2022,S001,P0008,Clothing,East,398,112,71,103.34,88.99,0,Cloudy,1,92.44,Spring
08-03-2022,S002,P0012,Furniture,East,407,327,86,325.7,25.22,0,Cloudy,0,23.7,Winter
09-03-2022,S001,P0006,Toys,West,185,66,65,66.74,54.43,15,Snowy,1,52.51,Summer
11-03-2022,S004,P0019,Toys,East,470,143,116,155.43,80.87,0,Sunny,1,84.68,Autumn
15-03-2022,S005,P0020,Groceries,East,408,22,97,18.82,99.16,0,Snowy,1,101.09,Winter
22-04-2022,S001,P0020,Clothing,South,358,38,118,44.4,25.24,0,Snowy,1,30.16,Winter
07-05-2022,S004,P0006,Furniture,East,396,215,22,214.97,58.37,5,Cloudy,1,57.13,Autumn
23-02-2022,S001,P0005,Furniture,North,339,253,37,269.95,98.78,0,Sunny,0,102.08,Spring
24-01-2022,S001,P0013,Clothing,West,138,102,165,120.45,72.0,5,Snowy,0,71.02,Summer
12-03-2022,S003,P0001,Clothing,South,443,249,150,247.87,31.22,5,Rainy,0,35.29,Autumn
19-01-2022,S005,P0010,Electronics,South,381,43,161,55.35,27.45,15,Rainy,0,28.22,Winter
31-03-2022,S005,P0012,Clothing,West,440,414,160,417.46,49.78,20,Snowy,1,50.86,Autumn
02-01-2022,S004,P0010,Groceries,South,348,206,67,214.99,92.01,15,Snowy,1,87.81,Autumn
18-01-2022,S005,P0016,Furniture,South,304,237,87,234.35,67.8,5,Snowy,1,70.66,Winter
09-02-2022,S004,P0016,Clothing,East,334,56,80,46.73,33.32,10,Sunny,0,37.06,Winter
10-03-2022,S002,P0001,Furniture,West,288,123,84,131.99,46.07,5,Cloudy,1,48.65,Autumn
20-03-2022,S002,P0007,Clothing,North,220,34,49,37.1,45.78,15,Sunny,0,45.23,Spring
29-04-2022,S001,P0010,Toys,West,270,113,162,114.76,82.51,15,Rainy,1,84.36,Spring
11-01-2022,S002,P0020,Electronics,West,368,333,72,333.12,62.7,15,Snowy,0,60.86,Summer
29-01-2022,S003,P0009,Groceries,South,109,36,189,44.31,76.54,5,Snowy,0,80.53,Autumn
03-02-2022,S004,P0012,Electronics,North,352,97,20,95.34,61.68,20,Rainy,1,62.84,Summer
30-03-2022,S002,P0010,Clothing,South,264,144,42,158.99,46.74,5,Sunny,1,48.06,Winter
14-04-2022,S003,P0010,Toys,East,61,52,55,54.97,31.52,20,Sunny,0,32.95,Winter
29-03-2022,S005,P0018,Clothing,East,120,69,182,70.26,60.38,10,Sunny,1,62.85,Autumn
08-01-2022,S004,P0005,Groceries,South,183,148,90,149.58,11.43,20,Snowy,0,16.1,Summer
16-01-2022,S005,P0014,Furniture,West,330,289,60,285.34,51.64,10,Rainy,1,56.31,Summer
23-05-2022,S002,P0013,Groceries,South,379,48,135,50.68,75.4,20,Snowy,0,79.79,Spring
28-02-2022,S004,P0013,Electronics,East,307,297,21,302.22,49.74,10,Cloudy,1,48.49,Winter
10-04-2022,S003,P0001,Toys,North,349,163,172,175.7,98.19,5,Sunny,1,96.7,Summer
21-02-2022,S004,P0010,Groceries,South,327,120,87,128.37,50.51,10,Sunny,1,48.13,Winter
20-04-2022,S001,P0010,Furniture,North,341,332,26,338.4,75.02,10,Cloudy,1,74.28,Spring
11-02-2022,S002,P0003,Clothing,South,328,232,154,246.96,63.88,5,Snowy,1,64.37,Summer
10-05-2022,S003,P0009,Groceries,North,240,143,55,149.44,20.28,5,Rainy,1,22.44,Summer
25-05-2022,S005,P0003,Toys,West,244,16,88,27.3,88.8,0,Rainy,1,91.5,Summer
02-01-2022,S003,P0010,Furniture,West,146,79,155,94.23,16.48,10,Cloudy,1,21.42,Spring
28-04-2022,S002,P0017,Electronics,East,100,24,89,28.02,97.84,20,Sunny,1,102.71,Spring
04-01-2022,S005,P0008,Furniture,South,327,216,124,233.51,62.03,20,Cloudy,0,64.13,Summer
09-02-2022,S003,P0007,Groceries,North,473,421,25,421.13,45.29,0,Snowy,1,49.64,Winter
15-05-2022,S001,P0003,Furniture,North,361,196,200,210.76,92.94,10,Snowy,1,96.48,Winter
14-01-2022,S004,P0014,Groceries,North,448,304,39,294.11,31.54,5,Cloudy,1,29.59,Spring
29-01-2022,S005,P0005,Clothing,South,201,90,42,98.48,59.41,5,Rainy,1,61.01,Summer
21-05-2022,S003,P0003,Toys,South,299,186,106,189.1,31.38,5,Cloudy,0,31.77,Summer
24-04-2022,S004,P0001,Furniture,East,386,99,96,89.61,51.44,0,Snowy,0,51.4,Autumn
30-01-2022,S005,P0012,Clothing,North,286,105,36,100.95,95.99,5,Snowy,1,100.74,Summer
26-04-2022,S005,P0016,Groceries,East,329,248,177,265.54,62.77,5,Cloudy,1,64.33,Autumn
16-04-2022,S005,P0002,Furniture,West,219,20,142,10.93,73.84,15,Cloudy,0,78.49,Autumn
29-05-2022,S004,P0008,Groceries,North,114,42,102,49.54,43.47,0,Sunny,0,40.49,Winter
25-05-2022,S002,P0005,Clothing,North,485,345,119,360.37,60.31,5,Rainy,1,60.13,Winter
31-01-2022,S002,P0005,Toys,East,449,268,189,268.19,45.75,5,Snowy,0,46.69,Summer
03-01-2022,S003,P0012,Toys,East,112,109,46,113.33,71.21,20,Rainy,1,74.71,Summer
02-05-2022,S003,P0007,Furniture,North,345,2,124,0.17,89.08,20,Cloudy,0,85.67,Summer
25-04-2022,S002,P0019,Toys,West,212,172,113,168.68,12.52,20,Rainy,1,15.62,Summer
12-03-2022,S005,P0013,Groceries,South,277,38,177,29.31,58.9,20,Snowy,1,55.14,Spring
10-01-2022,S002,P0013,Furniture,West,213,104,46,122.12,30.8,15,Snowy,1,26.83,Summer
14-03-2022,S001,P0018,Groceries,South,417,67,150,68.91,10.91,20,Sunny,0,10.19,Autumn
06-02-2022,S005,P0005,Clothing,South,75,68,113,85.55,82.07,10,Sunny,0,85.31,Spring
25-03-2022,S004,P0009,Electronics,West,458,78,191,69.09,18.32,20,Snowy,1,15.44,Autumn
05-04-2022,S004,P0019,Groceries,East,207,177,160,178.36,30.52,10,Sunny,0,34.54,Autumn
28-04-2022,S002,P0005,Furniture,East,431,1,109,-7.34,23.86,10,Snowy,0,26.25,Spring
16-03-2022,S001,P0018,Furniture,East,183,123,142,115.72,74.59,5,Snowy,0,73.49,Spring
16-04-2022,S001,P0005,Groceries,South,288,126,170,116.58,98.37,5,Sunny,0,97.96,Autumn
16-04-2022,S001,P0016,Furniture,East,72,4,116,4.99,45.7,10,Rainy,1,41.72,Summer
16-05-2022,S001,P0010,Furniture,South,74,46,35,53.23,59.45,0,Snowy,1,63.63,Autumn
13-03-2022,S004,P0013,Groceries,South,408,238,61,233.37,59.68,10,Sunny,0,58.99,Spring
03-02-2022,S002,P0009,Toys,North,91,35,194,46.61,72.33,0,Snowy,1,70.4,Summer
20-02-2022,S002,P0004,Furniture,South,420,419,102,425.96,68.3,15,Cloudy,0,69.67,Spring
23-01-2022,S001,P0015,Groceries,North,70,67,93,75.17,53.21,20,Rainy,1,49.24,Summer
23-01-2022,S001,P0017,Furniture,South,274,74,42,92.96,37.73,10,Cloudy,0,36.82,Spring
28-05-2022,S005,P0016,Furniture,North,102,57,122,68.89,13.89,5,Cloudy,0,17.29,Winter
29-01-2022,S003,P0020,Groceries,North,330,137,61,155.51,41.94,5,Cloudy,1,39.55,Winter
10-02-2022,S002,P0005,Clothing,East,483,15,50,28.01,33.03,5,Cloudy,0,31.26,Winter
28-01-2022,S004,P0001,Clothing,North,486,42,188,32.51,66.32,15,Rainy,0,65.19,Summer
02-02-2022,S005,P0011,Toys,East,56,49,100,44.54,48.94,15,Snowy,1,46.8,Summer
11-04-2022,S003,P0004,Clothing,West,175,38,193,33.61,56.51,10,Sunny,1,58.56,Winter
27-01-2022,S002,P0007,Toys,South,302,70,47,74.79,40.4,15,Snowy,1,39.7,Winter
16-02-2022,S001,P0010,Clothing,West,164,148,96,144.77,65.67,20,Snowy,0,67.62,Winter
13-05-2022,S005,P0004,Clothing,East,262,261,51,261.19,83.69,10,Cloudy,1,81.44,Summer
05-05-2022,S004,P0013,Toys,South,252,164,59,177.67,58.44,0,Rainy,1,61.68,Spring
28-04-2022,S002,P0020,Groceries,North,325,192,199,204.05,71.82,5,Snowy,1,68.61,Autumn
08-03-2022,S004,P0002,Furniture,North,157,17,191,23.83,98.69,5,Snowy,1,100.82,Winter
20-05-2022,S002,P0020,Electronics,North,177,164,26,181.1,30.6,0,Rainy,0,27.19,Spring
15-03-2022,S003,P0020,Clothing,South,83,28,125,20.21,78.42,10,Rainy,0,80.18,Autumn
02-02-2022,S001,P0005,Electronics,West,389,28,38,24.54,40.71,15,Snowy,1,42.22,Winter
